AL627309.1
AL034417.4
AL034417.3
ERRFI1
AL034417.2
LINC01714
SLC45A1
RERE
RERE-AS1
ENO1
ENO1-AS1
CA6
SLC2A7
SLC2A5
GPR157
MIR34AHG
LNCTAM34A
H6PD
SPSB1
BX323043.1
LINC02606
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS1
PIK3CD-AS2
CLSTN1
CTNNBIP1
AL357140.1
AL357140.4
LZIC
AL357140.2
NMNAT1
RBP7
UBE4B
KIF1B
AL139424.2
PGD
AL139424.1
CENPS
CORT
DFFA
AL354956.1
PEX14
CASZ1
AL139423.1
C1orf127
TARDBP
MASP2
AL109811.2
SRM
EXOSC10
AL109811.1
EXOSC10-AS1
MTOR
ANGPTL7
UBIAD1
DISP3
LINC01647
AL031731.1
FBXO2
FBXO44
FBXO6
MAD2L2
DRAXIN
AGTRAP
C1orf167
MTHFR
CLCN6
NPPA
AL021155.5
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF8
TNFRSF1B
VPS13D
DHRS3
AC254633.1
AADACL4
LRRC38
PDPN
PRDM2
KAZN
TMEM51-AS1
TMEM51
FHAD1
AL031283.2
AL031283.1
EFHD2
CTRC
CELA2A
CELA2B
CASP9
DNAJC16
AL121992.3
AGMAT
AL121992.1
DDI2
AL121992.2
PLEKHM2
SLC25A34
SLC25A34-AS1
FBLIM1
UQCRHL
AL450998.2
SPEN
ZBTB17
SRARP
HSPB7
CLCNKA
CLCNKB
FAM131C
EPHA2
AL451042.2
AL451042.1
ARHGEF19
AL109627.1
CPLANE2
FBXO42
SZRD1
SPATA21
NECAP2
LINC01772
AL137802.2
AL137802.1
LINC01783
NBPF1
AL137798.1
CROCC
BX284668.5
BX284668.6
MFAP2
AL049569.2
ATP13A2
SDHB
PADI2
LINC02783
PADI1
PADI4
RCC2-AS1
RCC2
ARHGEF10L
ACTL8
IGSF21
KLHDC7A
ALDH4A1
IFFO2
AL137127.1
UBR4
EMC1-AS1
EMC1
MRTO4
AKR7A3
AKR7A2
SLC66A1
CAPZB
MICOS10
NBL1
HTR6
TMCO4
RNF186
OTUD3
PLA2G2A
PLA2G5
PLA2G2D
PLA2G2F
Z98257.1
PLA2G2C
UBXN10-AS1
UBXN10
AL020998.1
LINC01141
CAMK2N1
MUL1
FAM43B
CDA
PINK1
PINK1-AS
DDOST
KIF17
SH2D5
HP1BP3
EIF4G3
AL031005.2
ECE1
AL031005.1
AL031728.1
NBPF3
ALPL
LINC02596
RAP1GAP
USP48
LDLRAD2
HSPG2
LINC01635
LINC00339
CDC42
CDC42-AS1
CDC42-IT1
WNT4
AL445253.1
ZBTB40
EPHA8
C1QA
C1QC
C1QB
EPHB2
TEX46
KDM1A
LUZP1
HTR1D
LINC01355
HNRNPR
ZNF436
ZNF436-AS1
AL109936.2
TCEA3
ASAP3
E2F2
AL021154.1
ID3
AL450043.1
MDS2
RPL11
ELOA-AS1
ELOA
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
CNR2
PNRC2
SRSF10
MYOM3
IL22RA1
IFNLR1
LINC02800
GRHL3
STPG1
NIPAL3
RCAN3AS
RCAN3
NCMAP-DT
NCMAP
SRRM1
CLIC4
RUNX3
AL445471.2
LINC02793
AL050344.1
SYF2
AL031432.4
AL031432.5
RSRP1
AL031432.3
RHD
TMEM50A
RHCE
MACO1
LDLRAP1
AL606491.1
MAN1C1
AL031280.1
SELENON
AL020996.1
MTFR1L
AUNIP
AL033528.2
PAQR7
STMN1
PAFAH2
EXTL1
SLC30A2
TRIM63
PDIK1L
FAM110D
C1orf232
AL391650.1
ZNF593
CNKSR1
CATSPER4
CEP85
SH3BGRL3
UBXN11
CD52
CRYBG2
ZNF683
DHDDS
AL513365.2
HMGN2
RPS6KA1
AL512408.1
ARID1A
PIGV
ZDHHC18
SFN
GPN2
GPATCH3
NUDC
NR0B2
KDF1
TRNP1
TENT5B
SLC9A1
WDTC1
TMEM222
SYTL1
MAP3K6
FCN3
CD164L2
GPR3
WASF2
BX293535.1
AHDC1
FGR
LINC02574
IFI6
AL445490.1
FAM76A
STX12
AL020997.2
AL020997.3
PPP1R8
THEMIS2
RPA2
SMPDL3B
AL512288.1
XKR8
EYA3
PTAFR
DNAJC8
ATP5IF1
AL353622.1
SESN2
MED18
PHACTR4
RCC1
SNHG3
TRNAU1AP
SNHG12
TAF12
RAB42
LINC01715
AL360012.1
GMEB1
YTHDF2
EPB41
TMEM200B
SRSF4
MECR
PTPRU
MATN1
MATN1-AS1
AL137857.1
LAPTM5
LINC01778
SDC3
PUM1
NKAIN1
SNRNP40
ZCCHC17
FABP3
SERINC2
LINC01226
TINAGL1
HCRTR1
PEF1
AC114488.2
AC114488.3
COL16A1
ADGRB2
SPOCD1
AL354919.1
PTP4A2
AL136115.1
KHDRBS1
TMEM39B
KPNA6
AL049795.2
TXLNA
CCDC28B
AL049795.1
IQCC
DCDC2B
TMEM234
EIF3I
FAM167B
LCK
HDAC1
MARCKSL1
TSSK3
FAM229A
BSDC1
ZBTB8B
ZBTB8A
ZBTB8OS
RBBP4
SYNC
KIAA1522
YARS
S100PBP
FNDC5
HPCA
TMEM54
RNF19B
AK2
AZIN2
TRIM62
AL662907.3
ZNF362
AL513327.3
AL513327.1
PHC2
AL513327.2
ZSCAN20
CSMD2
C1orf94
SMIM12
GJB4
GJB3
GJA4
AL122010.1
DLGAP3
TMEM35B
ZMYM6
ZMYM1
AL590434.1
SFPQ
ZMYM4
KIAA0319L
NCDN
AC004865.2
TFAP2E
PSMB2
C1orf216
CLSPN
AL354864.1
AGO4
AGO1
AL139286.2
AGO3
AL138787.2
TEKT2
ADPRHL2
COL8A2
TRAPPC3
MAP7D1
THRAP3
SH3D21
EVA1B
AL591845.1
STK40
LSM10
OSCP1
MRPS15
CSF3R
GRIK3
LINC01137
ZC3H12A
MEAF6
SNIP1
DNALI1
GNL2
RSPO1
C1orf109
CDCA8
EPHA10
MANEAL
YRDC
C1orf122
MTF1
AL929472.2
INPP5B
SF3A3
FHL3
UTP11
POU3F1
MIR3659HG
LINC02786
AL390839.1
LINC01685
AL354702.2
RRAGC
AL139260.1
MYCBP
GJA9
RHBDL2
AKIRIN1
NDUFS5
MACF1
AL356055.1
BMP8A
PABPC4
HEYL
HPCAL4
PPIE
BMP8B
OXCT2
BMP8B-AS1
AL033527.3
AL033527.4
LINC02811
TRIT1
MYCL
AL033527.2
MFSD2A
CAP1
PPT1
RLF
TMCO2
AL050341.2
ZMPSTE24
COL9A2
SMAP2
AL031985.4
ZFP69B
AL031985.3
ZFP69
AL603839.3
EXO5
AL603839.2
ZNF684
RIMS3
AL031289.2
NFYC-AS1
NFYC
KCNQ4
CITED4
CTPS1
SLFNL1-AS1
SLFNL1
SCMH1
AC093151.8
AC093151.3
FOXO6
AC093151.2
EDN2
HIVEP3
GUCA2B
GUCA2A
FOXJ3
AC096540.1
RIMKLA
ZMYND12
PPCS
CCDC30
PPIH
AC098484.4
AC098484.2
YBX1
CLDN19
P3H1
C1orf50
AC098484.1
TMEM269
SVBP
ERMAP
AL512353.1
ZNF691
SLC2A1
SLC2A1-AS1
FAM183A
EBNA1BP2
CFAP57
TMEM125
C1orf210
TIE1
AL139289.3
AL139289.2
CDC20
ELOVL1
MED8
SZT2
SZT2-AS1
HYI
HYI-AS1
PTPRF
KDM4A
KDM4A-AS1
ST3GAL3
ARTN
AL357079.1
IPO13
AL357079.2
DPH2
ATP6V0B
B4GALT2
CCDC24
SLC6A9
AL139220.2
DMAP1
ERI3
RNF220
TMEM53
ARMH1
KIF2C
AL592166.1
RPS8
BEST4
PLK3
TCTEX1D4
BTBD19
PTCH2
EIF2B3
HECTD3
UROD
ZSWIM5
LINC01144
HPDL
MUTYH
TOE1
TESK2
CCDC163
MMACHC
PRDX1
AKR1A1
NASP
CCDC17
GPBP1L1
TMEM69
IPP
AL604028.1
MAST2
PIK3R3
AL358075.1
AL358075.2
TSPAN1
POMGNT1
LURAP1
RAD54L
LRRC41
UQCRH
NSUN4
FAAH
DMBX1
MKNK1
MOB3C
ATPAF1
TEX38
EFCAB14
CYP4B1
CYP4A11
CYP4X1
CYP4Z1
CYP4A22-AS1
CYP4A22
LINC00853
PDZK1IP1
TAL1
AL135960.1
STIL
CMPK1
LINC01389
FOXE3
FOXD2-AS1
FOXD2
TRABD2B
SLC5A9
AL109659.2
SPATA6
AGBL4
BEND5
AL645507.1
AC099788.1
AGBL4-IT1
ELAVL4
DMRTA2
FAF1
CDKN2C
C1orf185
RNF11
TTC39A
EPS15
AC104170.1
OSBPL9
NRDC
AL050343.2
AL050343.3
RAB3B
TXNDC12
KTI12
BTF3L4
ZFYVE9
CC2D1B
AL513218.1
AL513218.2
ORC1
PRPF38A
TUT4
AL591167.1
GPX7
SHISAL2A
COA7
ZYG11B
ZYG11A
ECHDC2
SCP2
PODN
SLC1A7
AL445183.2
CPT2
AL606760.2
CZIB
AL606760.3
MAGOH
AL606760.1
LRP8
LINC01771
AC119428.2
LINC02812
GLIS1
NDC1
YIPF1
DIO1
HSPB11
LRRC42
TMEM59
TCEANC2
CDCP2
AL357673.2
CYB5RL
MRPL37
SSBP3
SSBP3-AS1
AL161644.1
ACOT11
FAM151A
MROH7
TTC4
PARS2
TTC22
LEXM
DHCR24
DHCR24-DT
AL590440.2
BSND
PCSK9
USP24
MIR4422HG
AC119674.1
LINC01767
PLPP3
PRKAA2
FYB2
DAB1
OMA1
TACSTD2
MYSM1
AL136985.3
JUN
LINC01135
AL136985.2
LINC02777
LINC01358
AL592431.1
AC093425.1
AC093424.1
FGGY
HOOK1
CYP2J2
LINC01748
AC099792.1
NFIA
NFIA-AS2
NFIA-AS1
AC099791.3
AC099791.4
TM2D1
AC099791.2
PATJ
L1TD1
KANK4
USP1
DOCK7
AC103923.1
ATG4C
AC099794.1
FOXD3-AS1
FOXD3
ALG6
ITGB3BP
BX004807.1
EFCAB7
DLEU2L
PGM1
ROR1
ROR1-AS1
AL445205.1
UBE2U
CACHD1
RAVER2
JAK1
LINC01359
AL357078.2
AK4
DNAJC6
LEPROT
LEPR
AC119800.1
AL513493.1
PDE4B
SGIP1
TCTEX1D1
INSL5
WDR78
MIER1
SLC35D1
IL23R
IL12RB2
SERBP1
GADD45A
GNG12
DIRAS3
WLS
RPE65
DEPDC1
DEPDC1-AS1
LRRC7
LRRC40
SRSF11
AL353771.1
ANKRD13C
HHLA3
AL158839.1
CTH
AL354872.2
PTGER3
AL031429.2
ZRANB2
ZRANB2-AS2
NEGR1
AL513166.1
LRRIQ3
FPGT
TNNI3K
ERICH3
AC135803.1
CRYZ
TYW3
LHX8
SLC44A5
ACADM
RABGGTB
MSH4
AC092813.2
ST6GALNAC3
AC104458.1
ST6GALNAC5
AL035409.1
PIGK
AK5
AC093575.1
AC118549.1
USP33
MIGA1
NEXN-AS1
NEXN
FUBP1
DNAJB4
GIPC2
AC103591.3
AC096531.2
PTGFR
IFI44L
IFI44
ADGRL4
LINC01781
ADGRL2
LINC01362
LINC01361
LINC01725
TTLL7
TTLL7-IT1
AL359504.2
PRKACB
SAMD13
RPF1
GNG5
SPATA1
CTBS
AL359762.1
SSX2IP
LPAR3
MCOLN2
WDR63
MCOLN3
SYDE2
C1orf52
BCL10
AL078459.1
DDAH1
AL360219.1
AC092807.3
AC092807.2
CCN1
ZNHIT6
COL24A1
LINC02795
ODF2L
CLCA4-AS1
AL049597.2
SH3GLB1
SELENOF
HS2ST1
LINC01140
LINC02801
LMO4
PKN2-AS1
PKN2
GTF2B
KYAT3
RBMXL1
GBP3
GBP1
GBP2
GBP7
GBP4
AC099063.4
GBP5
GBP6
AL596214.1
LRRC8B
LRRC8C-DT
LRRC8C
AC099568.1
AC099568.2
LRRC8D
AL391497.1
ZNF326
LINC02609
LINC01763
AC091614.1
ZNF644
HFM1
CDC7
TGFBR3
EPHX4
BTBD8
AC104836.1
GLMN
RPAP2
GFI1
EVI5
RPL5
DIPK1A
AC093577.1
MTF2
TMED5
CCDC18
CCDC18-AS1
DR1
FNBP1L
BCAR3
AL109613.1
AL049796.1
DNTTIP2
GCLM
ABCA4
ARHGAP29
AC118469.2
ABCD3
F3
AC093117.1
SLC44A3
CNN3
AC105942.1
ALG14
AC095033.1
TLCD4
AC092802.1
RWDD3
AC092802.2
AC092802.4
LINC01761
PTBP2
DPYD
SNX7
PLPPR4
PALMD
AGL
AC118553.1
SLC35A3
MFSD14A
SASS6
TRMT13
LRRC39
DBT
AL445928.2
RTCA-AS1
RTCA
CDC14A
GPR88
LINC01349
AC099670.3
VCAM1
EXTL2
AC104506.1
SLC30A7
DPH5
AC093157.2
AC093157.1
AL109741.1
S1PR1
LINC01307
LINC01709
OLFM3
AC095032.1
RNPC3
AMY2B
PRMT6
NTNG1
VAV3
VAV3-AS1
LINC02785
SLC25A24
AL359258.2
FAM102B
HENMT1
AL160171.1
PRPF38B
FNDC7
STXBP3
AKNAD1
SPATA42
GPSM2
CLCC1
WDR47
TAF13
AL356488.3
TMEM167B
AL356488.2
C1orf194
KIAA1324
SARS
CELSR2
PSRC1
MYBPHL
SORT1
PSMA5
SYPL2
ATXN7L2
CYB561D1
AMIGO1
GPR61
GNAI3
GNAT2
AMPD2
GSTM4
GSTM2
AC000032.1
GSTM5
AL158847.1
GSTM3
EPS8L3
LINC01768
CSF1
AHCYL1
STRIP1
AL160006.1
ALX3
UBL4B
SLC6A17
LINC02586
KCNC4
RBM15-AS1
RBM15
LAMTOR5-AS1
SLC16A4
AL355488.1
LAMTOR5
PROK1
KCNA2
AL365361.1
KCNA3
CD53
AL360270.2
AL360270.1
LRIF1
AL360270.3
DRAM2
CEPT1
AL355816.1
AL355816.2
DENND2D
CHI3L2
CHIA
PIFO
OVGP1
AL390195.2
AL390195.1
WDR77
ATP5PB
C1orf162
TMIGD3
ADORA3
RAP1A
LINC01160
INKA2
INKA2-AS1
AL049557.1
DDX20
KCND3
LINC01750
AL445426.1
CTTNBP2NL
WNT2B
AL354760.1
ST7L
CAPZA1
MOV10
AL603832.1
RHOC
PPM1J
TAFA3
LINC01356
LINC01357
SLC16A1
SLC16A1-AS1
LRIG2-DT
LRIG2
MAGI3
PHTF1
RSBN1
AL137856.1
PTPN22
AP4B1-AS1
BCL2L15
AP4B1
DCLRE1B
HIPK1-AS1
HIPK1
OLFML3
AL591742.2
SYT6
TRIM33
BCAS2
DENND2C
AMPD1
NRAS
CSDE1
SIKE1
TSPAN2
LINC01765
NGF-AS1
NGF
VANGL1
CASQ2
SLC22A15
AL355538.1
ATP1A1
ATP1A1-AS1
LINC01762
AL390066.1
CD58
IGSF3
CD2
AL157904.1
PTGFRN
CD101
AL445231.1
TTF2
TRIM45
AL358072.1
MAN1A2
AL157902.1
TENT5C
GDAP2
WDR3
SPAG17
TBX15
WARS2
WARS2-IT1
WARS2-AS1
AL359915.1
LINC01780
HAO2
LINC00622
ZNF697
PHGDH
REG4
NOTCH2
AC245008.1
SEC22B
NBPF26
AC253572.2
LINC00623
FCGR1B
FAM72B
SRGAP2C
LINC02798
AL592494.1
AL592494.2
LINC01691
AC239800.2
LINC02591
HIST2H3PS2
FAM72C
LINC02802
AC246785.3
NBPF15
SRGAP2B
FAM72D
AC245014.3
AC245014.1
NBPF20
AC239860.4
GPR89A
PDZK1
CD160
RNF115
POLR3C
NUDT17
PIAS3
ANKRD35
ITGA10
PEX11B
RBM8A
LIX1L-AS1
LIX1L
ANKRD34A
POLR3GL
TXNIP
HJV
AC239799.2
LINC01719
NBPF10
NOTCH2NLA
AC239799.1
PPIAL4H
AC245407.2
NBPF12
PRKAB2
AC242426.2
FMO5
CHD1L
LINC00624
BCL9
ACP6
GJA5
GPR89B
AC239803.1
LINC02804
NBPF11
LINC02805
AC239809.3
LINC01731
LINC01138
LINC02806
AC245100.1
AC245100.6
PPIAL4G
NBPF14
NUDT4B
PDE4DIP
AC239804.1
NBPF9
AC245297.3
AC245297.2
NOTCH2NLC
NBPF19
AC242842.1
FCGR1A
HIST2H2BF
HIST2H3D
HIST2H4A
HIST2H2AA3
HIST2H2AA4
HIST2H4B
AC239868.1
HIST2H2BE
HIST2H2AC
HIST2H2AB
BOLA1
SV2A
SF3B4
MTMR11
OTUD7B
AC244033.2
VPS45
PLEKHO1
AC242988.2
ANP32E
APH1A
C1orf54
CIART
MRPS21
PRPF3
RPRD2
TARS2
ECM1
FALEC
AL356356.1
ADAMTSL4
ADAMTSL4-AS1
MCL1
ENSA
GOLPH3L
HORMAD1
CTSS
CTSK
ARNT
CTXND2
SETDB1
CERS2
AL590133.2
AL590133.1
ANXA9
MINDY1
PRUNE1
BNIPL
C1orf56
CDC42SE1
MLLT11
GABPB2
AL592424.1
SEMA6C
TNFAIP8L2
SCNM1
LYSMD1
TMOD4
VPS72
PIP5K1A
PSMD4
ZNF687-AS1
ZNF687
PI4KB
AL391069.3
RFX5
AL391069.1
AL391069.2
SELENBP1
PSMB4
POGZ
CGN
TUFT1
SNX27
AL391335.1
CELF3
AL589765.1
RIIAD1
AL589765.7
MRPL9
OAZ3
AL589765.5
TDRKH
TDRKH-AS1
AL589765.6
LINGO4
RORC
C2CD4D
C2CD4D-AS1
THEM5
THEM4
AL450992.3
S100A10
S100A11
TCHH
FLG-AS1
AL589986.2
FLG
LCE5A
LINC01527
SPRR2A
SPRR2G
LOR
PGLYRP4
S100A9
S100A12
S100A8
S100A6
S100A5
S100A4
S100A3
S100A2
BX470102.2
S100A16
S100A14
S100A13
S100A1
AL162258.2
CHTOP
SNAPIN
ILF2
NPR1
INTS3
AL513523.3
SLC27A3
GATAD2B
AL358472.5
DENND4B
CRTC2
SLC39A1
AL358472.4
AL358472.3
CREB3L4
JTB
AL358472.2
RAB13
RPS27
NUP210L
TPM3
C1orf189
C1orf43
UBAP2L
HAX1
AQP10
ATP8B2
IL6R-AS1
IL6R
SHE
AL162591.2
TDRD10
UBE2Q1
UBE2Q1-AS1
CHRNB2
AL592078.1
ADAR
AL606500.1
KCNN3
PMVK
AL451085.1
PBXIP1
PYGO2
AL451085.2
SHC1
CKS1B
FLAD1
LENEP
ZBTB7B
DCST2
DCST1
DCST1-AS1
ADAM15
EFNA4
EFNA3
EFNA1
SLC50A1
DPM3
KRTCAP2
TRIM46
MUC1
AC234582.1
THBS3
MTX1
AC234582.2
GBA
FAM189B
SCAMP3
CLK2
HCN3
PKLR
FDPS
RUSC1-AS1
RUSC1
ASH1L
ASH1L-AS1
MSTO1
AL353807.5
YY1AP1
DAP3
AL162734.1
GON4L
SYT11
RIT1
KHDC4
ARHGEF2
AL355388.2
AL355388.1
AL355388.3
SSR2
UBQLN4
LAMTOR2
RAB25
MEX3A
LMNA
SEMA4A
SLC25A44
PMF1
BGLAP
PAQR6
SMG5
TMEM79
GLMP
CCT3
TSACC
RHBG
C1orf61
MEF2D
AL365181.1
IQGAP3
TTC24
NAXE
GPATCH4
AL365181.4
HAPLN2
AL365181.2
BCAN
AL365181.3
AL590666.2
NES
CRABP2
ISG20L2
RRNAD1
MRPL24
HDGF
PRCC
SH2D2A
NTRK1
INSRR
PEAR1
LRRC71
ARHGEF11
ETV3L
ETV3
FCRL5
FCRL4
FCRL3
FCRL2
FCRL1
CD5L
KIRREL1
KIRREL1-IT1
LINC01704
CD1D
AL138899.1
CD1A
CD1C
CD1B
CD1E
OR10Z1
SPTA1
MNDA
PYHIN1
IFI16
AIM2
CADM3
CADM3-AS1
ACKR1
FCER1A
CRP
DUSP23
FCRL6
SLAMF8
AL590560.2
VSIG8
AL590560.3
CFAP45
TAGLN2
IGSF9
SLAMF9
LINC01133
KCNJ10
PIGM
IGSF8
ATP1A2
ATP1A4
CASQ1
AL121987.2
PEA15
DCAF8
AL139011.1
PEX19
COPA
NCSTN
NHLH1
VANGL2
SLAMF6
AL138930.1
CD84
SLAMF1
AL121985.1
CD48
SLAMF7
LY9
CD244
ITLN1
F11R
TSTD1
USF1
ARHGAP30
NECTIN4
KLHDC9
PFDN2
NIT1
DEDD
UFC1
AL590714.1
USP21
PPOX
B4GALT3
ADAMTS4
NDUFS2
FCER1G
TOMM40L
NR1I3
PCP4L1
MPZ
SDHC
AL592295.4
AL592295.5
AL592295.3
FCGR2A
HSPA6
FCGR3A
FCGR3B
FCGR2B
FCRLA
FCRLB
DUSP12
AL359541.1
ATF6
OLFML2B
NOS1AP
C1orf226
SH2D1B
UHMK1
AL596325.1
UAP1
DDR2
HSD17B7
RGS4
RGS5
AL499616.1
AL592435.1
NUF2
PBX1
AL391001.1
AL357568.2
RXRG
AL356441.1
MGST3
ALDH9A1
AL451074.5
TMCO1
TMCO1-AS1
UCK2
AL358115.1
FAM78B
AL626787.1
AL596087.2
LINC01675
POGK
TADA1
ILDR2
MAEL
GPA33
DUSP27
AL451050.2
POU2F1
AL136984.1
CD247
AL359962.3
AL359962.2
CREG1
AL031733.2
RCSD1
MPZL1
ADCY10
MPC2
DCAF6
GPR161
TIPRL
SFT2D2
TBX19
XCL2
XCL1
DPT
AL031275.1
LINC00626
ATP1B1
NME7
BLZF1
CCDC181
SLC19A2
Z99572.1
F5
SELP
C1orf112
SELL
SELE
METTL18
SCYL3
KIFAP3
LINC01681
LINC01142
GORAB-AS1
GORAB
PRRX1
Z97200.1
BX284613.2
FMO3
FMO2
AL021026.1
FMO1
FMO4
PRRC2C
MYOCOS
VAMP4
EEF1AKNMT
DNM3
DNM3-IT1
DNM3OS
PIGC
SUCO
FASLG
Z97198.1
TNFSF18
TNFSF4
AL645568.1
PRDX6
SLC9C2
ANKRD45
KLHL20
CENPL
DARS2
GAS5
GAS5-AS1
ZBTB37
SERPINC1
RC3H1
RC3H1-IT1
RABGAP1L-DT
RABGAP1L
GPR52
RABGAP1L-IT1
Z99127.1
Z99127.4
CACYBP
MRPS14
TNN
KIAA0040
Z94057.1
TNR
LINC02803
COP1
AL590723.1
AL591043.2
PAPPA2
ASTN1
BRINP2
LINC01645
SEC16B
RASAL2-AS1
RASAL2
CLEC20A
TEX35
C1orf220
AL137796.1
AL449106.1
RALGPS2
ANGPTL1
FAM20B
TOR3A
ABL2
SOAT1
AXDND1
AL160286.2
TDRD5
FAM163A
AL359853.1
TOR1AIP2
AL353708.3
TOR1AIP1
AL353708.1
CEP350
QSOX1
LHX4
ACBD6
XPR1
LINC02816
KIAA1614
AL162431.1
KIAA1614-AS1
STX6
MR1
IER5
LINC01732
CACNA1E
ZNF648
AL355482.1
AL355482.2
GLUL
RNASEL
RGS16
LINC01686
RGS8
NPL
AL355999.1
DHX9
SHCBP1L
LAMC1
LAMC2
NMNAT2
AL354953.1
SMG7-AS1
SMG7
NCF2
AL137800.1
ARPC5
RGL1
COLGALT2
TSEN15
AL445228.2
C1orf21
EDEM3
NIBAN1
RNF2
TRMT1L
SWT1
IVNS1ABP
AL078644.2
AL133383.1
HMCN1
AL133553.2
PRG4
TPR
ODR4
AL096803.2
PDC
AL096803.4
PTGS2
PACERR
PLA2G4A
ERVMER61-1
AL713866.1
RGS18
AL390957.1
AL136987.1
RGS1
RGS13
AL136454.1
RGS2
UCHL5
RO60
GLRX2
CDC73
B3GALT2
LINC01031
AL138778.1
AL136456.1
LINC01724
KCNT2
CFH
CFHR3
CFHR1
CFHR4
F13B
ASPM
ZBTB41
CRB1
DENND1B
C1orf53
NEK7
AL450352.1
ATP6V1G3
AL157402.1
PTPRC
MIR181A1HG
AC096631.1
LINC01222
AC105941.1
NR5A2
LINC00862
AC097065.2
AC104461.1
ZNF281
KIF14
DDX59
DDX59-AS1
CAMSAP2
GPR25
INAVA
KIF21B
AL358473.1
AL358473.2
ASCL5
TMEM9
IGFN1
PKP1
TNNT2
LAD1
TNNI1
PHLDA3
CSRP1
AC096677.1
NAV1
IPO9-AS1
AL645504.1
IPO9
SHISA4
AL513217.1
LMOD1
TIMM17A
RNPEP
ELF3-AS1
ELF3
GPR37L1
ARL8A
PTPN7
LGR6
UBE2T
PPP1R12B
SYT2
AC104463.2
KDM5B
AC098934.4
PCAT6
RABIF
KLHL12
ADIPOR1
CYB5R1
TMEM183A
PPFIA4
MYOG
ADORA1
AC105940.2
MYBPH
CHI3L1
CHIT1
LINC01353
LINC01136
BTG2
FMOD
PRELP
ATP2B4
LAX1
ZC3H11A
SNRPE
LINC00303
SOX13
ETNK2
REN
GOLT1A
PLEKHA6
LINC00628
PPP1R15B
PIK3C2B
MDM4
AL512306.3
LRRN2
AL512306.2
AC096675.1
NFASC
CNTN2
TMEM81
RBBP5
DSTYK
TMCC2
NUAK2
KLHDC8A
LEMD1-AS1
LEMD1
BLACAT1
LEMD1-DT
CDK18
MFSD4A
ELK4
SLC45A3
NUCKS1
RAB29
AC119673.1
SLC41A1
AC119673.2
PM20D1
SLC26A9
RAB7B
CTSE
RHEX
AVPR1B
AC244035.1
FAM72A
SRGAP2
IKBKE
AC244034.2
RASSF5
EIF2D
AL591846.2
DYRK3
MAPKAPK2
IL10
IL19
IL24
FCMR
PIGR
FCAMR
C1orf116
PFKFB2
YOD1
C4BPB
C4BPA
AL445493.3
CD55
CR2
CR1
CR1L
CD46
MIR29B2CHG
CD34
AL356275.1
LINC02767
PLXNA2
LINC01735
AC092810.4
CAMK1G
LAMB3
HSD11B1-AS1
G0S2
HSD11B1
TRAF3IP3
C1orf74
IRF6
UTP25
SYT14
SERTAD4-AS1
SERTAD4
HHAT
KCNH1
AC092017.4
KCNH1-IT1
RCOR3
TRAF5
AL590101.1
LINC00467
RD3
SLC30A1
NEK2
AC096637.2
LPGAT1
LPGAT1-AS1
INTS7
DTL
AL606468.1
PPP2R5A
PACC1
AC092803.3
NENF
LINC01740
AC092803.1
AC092803.4
ATF3
AL590648.2
FAM71A
LINC02773
BATF3
NSL1
TATDN3
SPATA45
FLVCR1-DT
FLVCR1
VASH2
ANGEL2
RPS6KC1
AL592402.1
