"sigid","ligand","perturbed_receptors","n_upregulated","n_downregulated","total_strength","n_significant_genes","n_signatures"
"sig_BTLA_2_y","BTLA","ACVR2A,ADORA2B,ALCAM,ALOX5,APLP2,ASGR1,ASGR2,ATRN,BTLA,C3AR1,C5AR2,CCR2,CCR7,CCRL2,CD160,CD163,CD1B,CD22,CD300LB,CD4,CD63,CD69,CD74,CD80,CD82,CD84,CD9,CD93,CEACAM1,CKAP4,CMKLR1,CNR1,CNTNAP1,CRLF2,CRTAM,CSF1R,CSF3R,CX3CR1,CXCR1,CXCR2,CXCR3,DSC1,EDNRB,EPHB2,ERBB2,F2RL2,F3,FCGR1A,FGFR1,FLOT1,FLT1,FPR1,FPR3,FZD2,GPC4,HAVCR2,HRH1,HRH2,HTR7,IFNGR1,IL10RA,IL10RB,IL13RA1,IL27RA,IL2RG,IL3RA,INSR,ITGA1,ITGA4,ITGA5,ITGA7,ITGA9,ITGAE,ITGAM,ITGB3,ITGB5,ITGB7,LAIR1,LAMP1,LGR6,LILRB1,LILRB2,LPAR1,LRP1,LRRC4,LTBR,NMUR1,NOTCH2,NRCAM,NRP1,NT5E,OLR1,PDCD1,PECAM1,PILRA,PLAUR,PLD2,PLSCR1,PLXNA2,PLXNB2,PLXND1,PTPRS,RPSA,SDC4,SELL,SIGLEC1,SLC16A1,ST14,TFRC,THBD,TIE1,TLR5,TNFRSF11A,TNFRSF18,TNFRSF1A,TNFRSF1B,TNFRSF21,TNFRSF25,TNFRSF4,TNFRSF8,TRAF2,TREM2,TYROBP",800,851,2308.50203689869,1651,5
"sig_BTLA_3_y","BTLA","ASGR2,ATRN,C3AR1,CCR2,CCR7,CD163,CD4,CSF3R,EPHB2,FCGR1A,FLT1,FPR1,FPR3,GPC4,HRH2,IFNGR1,IL10RB,IL13RA1,ITGA7,ITGB5,ITGB7,KCNJ10,KCNJ15,LAIR1,LILRB1,LILRB2,LRP1,MERTK,NRP2,PECAM1,PILRA,PLSCR1,PLXNA2,SDC3,SIGLEC1,TIE1,TLR4,TLR5,TNFRSF18,TNFRSF25,TNFRSF8,TYROBP",85,414,1014.65224641121,499,5
"sig_BTLA_4_y","BTLA","ADORA2B,ALCAM,ALOX5,ASGR1,ASGR2,ATRN,AXL,BMPR2,C3AR1,C5AR2,CADM1,CALCRL,CCR2,CCR7,CCRL2,CD163,CD1B,CD209,CD22,CD274,CD300LB,CD4,CD69,CD74,CD82,CEACAM1,CKAP4,CRLF2,CSF1R,CSF3R,CX3CR1,CXCR2,EDNRB,ENG,EPHB2,F3,FCGR1A,FGFR1,FGFRL1,FLT1,FPR1,FPR3,FZD1,FZD2,GPC4,HRH1,HRH2,IFNAR2,IFNGR1,IL10RA,IL10RB,IL13RA1,IL1R1,IL1RL1,IL1RL2,IL27RA,IL3RA,INSR,ITGA2,ITGA2B,ITGA4,ITGA7,ITGA9,ITGAM,ITGAV,ITGAX,ITGB3,ITGB5,ITGB7,KCNJ10,LAIR1,LILRB2,LRP1,LRRC4,MAS1,MERTK,MET,MRC1,NPR1,NTRK1,NTSR1,PDCD1,PECAM1,PILRA,PLAUR,PLXDC2,PLXNA1,PLXNA2,PLXNC1,PLXND1,PTPRS,RPSA,SCARB1,SCARF1,SDC4,SIGLEC1,SLAMF7,SORL1,STX1A,TFRC,TIE1,TLR5,TNFRSF10C,TNFRSF10D,TNFRSF11A,TNFRSF12A,TNFRSF18,TNFRSF1A,TNFRSF21,TNFRSF25,TNFRSF4,TNFRSF8,TNFRSF9,TRAF2,TYROBP,UNC5B,VCAM1,VLDLR",786,786,2989.41176884107,1572,5
"sig_C5_1_y","C5","ABCA1,ADORA2B,ADRA2B,ASGR2,ATP6AP2,BMPR1A,C5AR1,CCR1,CCR7,CD4,CD44,CD48,CD53,CD74,CD86,CLEC2B,CTLA4,CXCR4,HAVCR2,ICAM1,IL2RG,ITGA8,ITGAM,ITGAX,ITGB2,KEL,LAMP1,LAMP2,MARCO,MYLK,NOTCH2,NRP1,OLR1,PDE1A,PLAUR,PLSCR4,PLXND1,RTN4RL2,SLAMF1,SORL1,TLR2,TNFRSF14,TNFRSF1B,TREM1",446,154,1944.83483687439,600,5
"sig_C5_2_y","C5","ABCA1,ACKR3,ACVRL1,ADGRG1,ADRB2,ALCAM,APLP2,ATRN,BMPR2,C3AR1,C5AR1,C5AR2,CADM1,CAV1,CD151,CD163,CD180,CD209,CD22,CD244,CD33,CD44,CD47,CD6,CD72,CD9,CDON,CHRM3,CNR1,CRTAM,CSF2RB,CSPG4,CXADR,DCHS1,EDNRB,ENG,ENO1,EPHB3,ERAP1,F3,FAP,FCGR1A,FGFRL1,FLOT1,FLT3,FZD5,FZD7,GPC1,GPR35,HRH2,HTR1B,ICAM1,IFNAR1,IFNGR2,IGF2R,IL13RA1,IL17RA,IL1R1,IL7R,INSR,ITGA2,ITGA3,ITGA5,ITGA6,ITGAE,ITGAL,LAMP2,LGR4,LILRB2,LINGO1,LPAR1,LRP1,MERTK,MET,MGRN1,MYLK,NCR3,NECTIN2,NEO1,NOTCH2,NRCAM,NRP2,OLR1,PDGFRA,PECAM1,PLAUR,PLXDC2,PLXNA2,PLXNB1,PLXNC1,PLXND1,PTCH1,PTPRB,PTPRC,PTPRJ,PVR,ROBO1,ROBO4,ROR2,RPSA,RTN4R,RYK,S1PR2,SCARF1,SCN8A,SDC4,SELPLG,SIGLEC1,SIGLEC9,SLAMF7,SLC16A1,SLC16A7,SORL1,SPN,TGFBR1,TNFRSF10A,TNFRSF10B,TNFRSF12A,TNFRSF1A,TREM1,TREM2,TYROBP",1878,1339,1068.52716377226,3217,5
"sig_C5_3_y","C5","ACVR1,ACVR2B,ADGRE5,ALCAM,CALCRL,CCR1,CD163,CD180,CD300LB,CD33,CD44,CD47,CD53,CD9,CLEC2B,CSPG4,DDR1,DIP2A,EFNB1,ENG,ENO1,F2RL3,FGFRL1,FLOT1,GPR35,ICOSLG,IFNAR1,IFNAR2,IFNGR1,IGF1R,IL10RA,IL17RB,IL1RAP,IL27RA,IL3RA,IL4R,IL6R,INSR,ITGA1,ITGA5,ITGB3,ITGB7,JAML,JMJD6,LDLR,LPAR1,LRP8,NECTIN2,NOTCH1,NOTCH2,NOTCH3,P2RY14,PLAUR,PLXNA2,PLXNA3,PRLR,PVR,SCARF1,SIGLEC1,SIGLEC9,SLAMF1,SLC16A1,SLC40A1,TGFBR1,TGFBR2,THBD,TLR4,TLR5,TLR6,TNFRSF10A,TNFRSF10D,TNFRSF12A,TNFRSF14,TNFRSF1B,TREM1,UNC5B,VASN",837,552,838.432362988206,1389,5
"sig_CALCA_1_y","CALCA","ADCY1,AGR2,ALCAM,AXL,BCAM,BEX3,C5AR1,CAV1,CD22,CD44,CD47,CD55,CD63,CD74,CD82,CD9,CLEC2B,CRLF3,CXADR,DAG1,DCBLD2,DDR1,DSG3,EDNRA,EGFR,ENO1,EPHA2,EPHA3,EPHB3,ERBB2,F2R,F3,FGFR3,FGFR4,FGFRL1,FLOT1,FZD1,FZD5,GAS1,GPC1,HTR7,IFNGR2,IGF2R,IL15RA,IL1RAP,IL1RL1,IL6ST,IL7R,ITGA2,ITGA3,ITGAV,ITGB5,ITGB8,KCNJ15,KLRC2,KREMEN2,LAG3,LAMP2,LGR4,LMBR1L,LPAR1,LPAR3,LRP1,LRP5,LRP8,LSR,MET,MYLK,NECTIN1,NGFR,NOTCH1,NT5E,NTRK2,OLR1,OSMR,PLA2R1,PLD2,PLSCR1,PLSCR4,PLXNA1,PLXNA3,PLXNB1,PLXNB2,PTPRJ,PVR,RGMB,RHBDL2,SIRPA,SLC16A1,SORT1,STX1A,TFRC,TGFBR2,THBD,TNFRSF10A,TNFRSF10B,TNFRSF10D,TNFRSF12A,TNFRSF14,TNFRSF19,TNFRSF21,TSPAN1,TYRO3,UNC5B,VASN,VSIR,ZNRF3",1616,1735,931.394804267075,3351,3
"sig_CALCA_2_y","CALCA","ACKR3,ADRB2,KCNJ15,NGFR,PHEX,TNFRSF21,VSIR",84,51,121.55883844233,135,3
"sig_CALCA_3_y","CALCA","AGR2,ALOX5,AXL,BCAM,CANX,CD22,CD44,CD96,EPHA2,EPHA3,EPHB3,ERBB3,F3,FGFR3,FGFRL1,HMMR,IL15RA,IL1RL1,IL1RL2,IL2RB,ITGA3,ITGB5,KCNJ15,KREMEN2,LPAR3,LRP8,NCAM1,NECTIN4,NGFR,NRP1,NT5E,OLR1,PLA2R1,PLAUR,PLD2,PLSCR1,PLSCR4,PTPRC,PVR,RET,RGMB,SLC16A1,SORT1,THBD,TNFRSF10A,TNFRSF12A,TNFRSF21,TYRO3,UNC5B,VSIR",526,611,654.206177709742,1137,3
"sig_CCL26_1_y","CCL26","ABCA1,ACKR3,ADCY1,ADGRG1,ADORA2B,ADRB2,AMFR,ATP5F1B,AXL,CD22,CD274,CD38,CD44,CD47,CD55,CEACAM1,CLEC2B,CNTN1,CSF2RA,ENO1,EPCAM,EPHB2,ERAP1,FAS,HLA-F,ICAM1,IFNGR1,IGF1R,IL15RA,IL22RA1,IL3RA,IL6ST,ITGA2,ITGA5,ITGAE,ITGAM,ITGAX,ITGB3,KLRC2,L1CAM,LAMP1,LAMP2,LIFR,LRP11,LRP6,LSR,MCAM,MET,NECTIN2,NOTCH1,NRP2,NT5E,NTNG2,OGFR,OSMR,PDE1C,PILRB,PLAUR,PLSCR1,PLXNB2,PRTG,PTPRJ,PTPRM,RET,ROR2,RPSA,SCARB1,SDC4,SLAMF7,STRA6,TNFRSF10B,TNFRSF10D,TNFRSF11A,TNFRSF1A,TNFRSF1B,TNFRSF9",986,1294,1611.92538025151,2280,1
