ligand,receptor,lr_bias,scaled_bias,lr_bias_clean
AGT,HCAR3,0.97458712,0.9815510217963440,0.97458712
AGT,P2RY4,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R38,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R39,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R40,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R41,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R31,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R46,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R60,0.97458712,0.9815510217963440,0.97458712
AGT,GRM1,0.97458712,0.9815510217963440,0.97458712
AGT,GPR17,0.97458712,0.9815510217963440,0.97458712
AGT,GPR18,0.97458712,0.9815510217963440,0.97458712
AGT,GRM2,0.97458712,0.9815510217963440,0.97458712
AGT,GRM7,0.97458712,0.9815510217963440,0.97458712
AGT,GRM3,0.97458712,0.9815510217963440,0.97458712
AGT,P2RY6,0.97458712,0.9815510217963440,0.97458712
AGT,LTB4R,0.97458712,0.9815510217963440,0.97458712
AGT,GPR68,0.97458712,0.9815510217963440,0.97458712
AGT,GPRC6A,0.97458712,0.9815510217963440,0.97458712
AGT,GPR65,0.97458712,0.9815510217963440,0.97458712
AGT,HCAR2,0.97458712,0.9815510217963440,0.97458712
AGT,OXGR1,0.97458712,0.9815510217963440,0.97458712
AGT,S1PR3,0.97458712,0.9815510217963440,0.97458712
AGT,GPER1,0.97458712,0.9815510217963440,0.97458712
AGT,P2RY13,0.97458712,0.9815510217963440,0.97458712
AGT,SUCNR1,0.97458712,0.9815510217963440,0.97458712
AGT,HCAR1,0.97458712,0.9815510217963440,0.97458712
AGT,LPAR5,0.97458712,0.9815510217963440,0.97458712
AGT,S1PR5,0.97458712,0.9815510217963440,0.97458712
AGT,P2RY12,0.97458712,0.9815510217963440,0.97458712
AGT,LTB4R2,0.97458712,0.9815510217963440,0.97458712
AGT,CYSLTR2,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R16,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R14,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R13,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R10,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R7,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R4,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R3,0.97458712,0.9815510217963440,0.97458712
AGT,TAS2R1,0.97458712,0.9815510217963440,0.97458712
AGT,GABBR1,0.97458712,0.9815510217963440,0.97458712
AGT,LPAR3,0.97458712,0.9815510217963440,0.97458712
AGT,OPN4,0.97458712,0.9815510217963440,0.97458712
AGT,GPR132,0.97458712,0.9815510217963440,0.97458712
AGT,CYSLTR1,0.97458712,0.9815510217963440,0.97458712
AGT,GPR55,0.97458712,0.9815510217963440,0.97458712
AGT,GRM8,0.97458712,0.9815510217963440,0.97458712
AGT,P2RY10,0.97458712,0.9815510217963440,0.97458712
AGT,FFAR1,0.97458712,0.9815510217963440,0.97458712
AGT,FFAR3,0.97458712,0.9815510217963440,0.97458712
AGT,GRM6,0.97458712,0.9815510217963440,0.97458712
AGT,FFAR2,0.97458712,0.9815510217963440,0.97458712
AGT,GABBR2,0.97458712,0.9815510217963440,0.97458712
AGT,S1PR2,0.97458712,0.9815510217963440,0.97458712
AGT,S1PR4,0.97458712,0.9815510217963440,0.97458712
ALCAM,CD6,0.213059854,0.27865073672272900,0.213059854
ALCAM,EGFR,0.213059854,0.27865073672272900,0.213059854
ALCAM,NTRK1,0.213059854,0.27865073672272900,0.213059854
ALOX5AP,ALOX5,1.595662213,1.376102650156240,1.595662213
AMH,AMHR2,0.272768204,0.3479697001589580,0.272768204
AMH,ACVR1,0.272768204,0.3479697001589580,0.272768204
AMH,BMPR1A,0.272768204,0.3479697001589580,0.272768204
AMH,EGFR,0.272768204,0.3479697001589580,0.272768204
